"Indicator","PUBLISH STATES","Year","WHO region","Countries, territories and areas","Sex","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Eastern Mediterranean","Tunisia","Male","66.0","65.96701","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Eastern Mediterranean","Tunisia","Male","19.9","19.89233","","","","",""
"Life expectancy at birth (years)","Published","2019","Eastern Mediterranean","Tunisia","Male","74.9","74.87583","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Eastern Mediterranean","Tunisia","Male","66.1","66.08925","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Eastern Mediterranean","Tunisia","Male","20.2","20.15968","","","","",""
"Life expectancy at birth (years)","Published","2000","Eastern Mediterranean","Tunisia","Female","76.5","76.49287","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","Tunisia","Female","65.8","65.78085","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Eastern Mediterranean","Tunisia","Female","21.5","21.48032","","","","",""
"Life expectancy at birth (years)","Published","2010","Eastern Mediterranean","Tunisia","Female","78.2","78.20534","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Eastern Mediterranean","Tunisia","Female","67.1","67.14967","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Eastern Mediterranean","Tunisia","Female","22.1","22.11456","","","","",""
"Life expectancy at birth (years)","Published","2015","Eastern Mediterranean","Tunisia","Female","78.8","78.83195","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Eastern Mediterranean","Tunisia","Female","67.5","67.54960","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Eastern Mediterranean","Tunisia","Female","22.5","22.45291","","","","",""
"Life expectancy at birth (years)","Published","2019","Eastern Mediterranean","Tunisia","Female","79.2","79.18810","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Eastern Mediterranean","Tunisia","Female","67.7","67.69368","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Eastern Mediterranean","Tunisia","Female","22.8","22.82146","","","","",""
"Life expectancy at birth (years)","Published","2000","Eastern Mediterranean","Tunisia","Both sexes","74.1","74.11952","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","Tunisia","Both sexes","64.8","64.80180","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Eastern Mediterranean","Tunisia","Both sexes","20.1","20.13634","","","","",""
"Life expectancy at birth (years)","Published","2010","Eastern Mediterranean","Tunisia","Both sexes","76.0","76.04550","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Eastern Mediterranean","Tunisia","Both sexes","66.3","66.29751","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Eastern Mediterranean","Tunisia","Both sexes","20.9","20.85403","","","","",""
"Life expectancy at birth (years)","Published","2015","Eastern Mediterranean","Tunisia","Both sexes","76.7","76.69955","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Eastern Mediterranean","Tunisia","Both sexes","66.7","66.74988","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Eastern Mediterranean","Tunisia","Both sexes","21.2","21.20749","","","","",""
"Life expectancy at birth (years)","Published","2019","Eastern Mediterranean","Tunisia","Both sexes","77.0","77.03745","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Eastern Mediterranean","Tunisia","Both sexes","66.9","66.89014","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Eastern Mediterranean","Tunisia","Both sexes","21.5","21.53583","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Turkiye","Male","71.9","71.93896","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Turkiye","Male","64.1","64.13479","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Turkiye","Male","20.1","20.10793","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Turkiye","Male","74.6","74.64530","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Turkiye","Male","66.3","66.29518","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Turkiye","Male","19.8","19.75680","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Turkiye","Male","75.4","75.39343","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Turkiye","Male","66.9","66.93821","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Turkiye","Male","19.9","19.85395","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Turkiye","Male","76.4","76.44344","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Turkiye","Male","67.8","67.80547","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Turkiye","Male","20.6","20.61017","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Turkiye","Female","76.8","76.84741","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Turkiye","Female","65.8","65.83030","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Turkiye","Female","22.7","22.69280","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Turkiye","Female","79.1","79.08215","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Turkiye","Female","67.6","67.60091","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Turkiye","Female","22.6","22.55142","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Turkiye","Female","80.1","80.06183","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Turkiye","Female","68.4","68.43490","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Turkiye","Female","22.9","22.92029","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Turkiye","Female","80.7","80.67479","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Turkiye","Female","69.0","68.95506","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Turkiye","Female","23.2","23.24466","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Turkiye","Both sexes","74.4","74.41146","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Turkiye","Both sexes","65.0","64.96670","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Turkiye","Both sexes","21.5","21.45848","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Turkiye","Both sexes","76.9","76.89300","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Turkiye","Both sexes","66.9","66.94627","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Turkiye","Both sexes","21.2","21.19840","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Turkiye","Both sexes","77.8","77.79037","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Turkiye","Both sexes","67.7","67.71564","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Turkiye","Both sexes","21.5","21.48406","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Turkiye","Both sexes","78.6","78.62457","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Turkiye","Both sexes","68.4","68.41460","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Turkiye","Both sexes","22.0","22.03041","","","","",""
"Life expectancy at birth (years)","Published","2000","Africa","United Republic of Tanzania","Male","51.3","51.28127","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","United Republic of Tanzania","Male","45.0","45.01416","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","United Republic of Tanzania","Male","14.3","14.33640","","","","",""
"Life expectancy at birth (years)","Published","2010","Africa","United Republic of Tanzania","Male","60.0","60.01528","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Africa","United Republic of Tanzania","Male","52.9","52.93148","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Africa","United Republic of Tanzania","Male","16.0","16.01812","","","","",""
"Life expectancy at birth (years)","Published","2015","Africa","United Republic of Tanzania","Male","63.4","63.37500","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Africa","United Republic of Tanzania","Male","55.9","55.86159","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Africa","United Republic of Tanzania","Male","16.7","16.69103","","","","",""
"Life expectancy at birth (years)","Published","2019","Africa","United Republic of Tanzania","Male","65.4","65.37194","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Africa","United Republic of Tanzania","Male","57.6","57.62463","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Africa","United Republic of Tanzania","Male","17.1","17.05616","","","","",""
"Life expectancy at birth (years)","Published","2000","Africa","United Republic of Tanzania","Female","53.6","53.61302","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","United Republic of Tanzania","Female","45.8","45.83544","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","United Republic of Tanzania","Female","17.4","17.40722","","","","",""
"Life expectancy at birth (years)","Published","2010","Africa","United Republic of Tanzania","Female","62.6","62.63190","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Africa","United Republic of Tanzania","Female","53.7","53.70932","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Africa","United Republic of Tanzania","Female","18.3","18.34739","","","","",""
"Life expectancy at birth (years)","Published","2015","Africa","United Republic of Tanzania","Female","67.3","67.26328","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Africa","United Republic of Tanzania","Female","57.6","57.57885","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Africa","United Republic of Tanzania","Female","18.7","18.74386","","","","",""
"Life expectancy at birth (years)","Published","2019","Africa","United Republic of Tanzania","Female","69.3","69.25912","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Africa","United Republic of Tanzania","Female","59.3","59.25729","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Africa","United Republic of Tanzania","Female","19.1","19.06387","","","","",""
"Life expectancy at birth (years)","Published","2000","Africa","United Republic of Tanzania","Both sexes","52.5","52.47420","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","United Republic of Tanzania","Both sexes","45.4","45.43680","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","United Republic of Tanzania","Both sexes","16.0","15.95217","","","","",""
"Life expectancy at birth (years)","Published","2010","Africa","United Republic of Tanzania","Both sexes","61.4","61.38839","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Africa","United Republic of Tanzania","Both sexes","53.4","53.35963","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Africa","United Republic of Tanzania","Both sexes","17.3","17.31065","","","","",""
"Life expectancy at birth (years)","Published","2015","Africa","United Republic of Tanzania","Both sexes","65.4","65.35620","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Africa","United Republic of Tanzania","Both sexes","56.7","56.74443","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Africa","United Republic of Tanzania","Both sexes","17.8","17.83135","","","","",""
"Life expectancy at birth (years)","Published","2019","Africa","United Republic of Tanzania","Both sexes","67.3","67.34418","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Africa","United Republic of Tanzania","Both sexes","58.5","58.46004","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Africa","United Republic of Tanzania","Both sexes","18.2","18.15650","","","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Uganda","Male","46.8","46.79795","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Uganda","Male","41.4","41.36380","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Uganda","Male","12.5","12.48703","","","","",""
"Life expectancy at birth (years)","Published","2010","Africa","Uganda","Male","57.0","57.01921","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Africa","Uganda","Male","50.6","50.61524","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Africa","Uganda","Male","14.4","14.41578","","","","",""
"Life expectancy at birth (years)","Published","2015","Africa","Uganda","Male","60.8","60.81181","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Africa","Uganda","Male","53.9","53.93577","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Africa","Uganda","Male","15.2","15.17498","","","","",""
"Life expectancy at birth (years)","Published","2019","Africa","Uganda","Male","63.2","63.24249","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Africa","Uganda","Male","56.0","56.04528","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Africa","Uganda","Male","15.7","15.67116","","","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Uganda","Female","50.8","50.75184","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Uganda","Female","43.7","43.69613","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Uganda","Female","16.6","16.62395","","","","",""
"Life expectancy at birth (years)","Published","2010","Africa","Uganda","Female","62.2","62.21443","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Africa","Uganda","Female","53.6","53.56707","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Africa","Uganda","Female","18.7","18.66859","","","","",""
"Life expectancy at birth (years)","Published","2015","Africa","Uganda","Female","68.1","68.12691","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Africa","Uganda","Female","58.7","58.66142","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Africa","Uganda","Female","19.2","19.16009","","","","",""
"Life expectancy at birth (years)","Published","2019","Africa","Uganda","Female","70.1","70.09615","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Africa","Uganda","Female","60.4","60.35300","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Africa","Uganda","Female","19.4","19.37504","","","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Uganda","Both sexes","48.8","48.76083","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Uganda","Both sexes","42.5","42.51545","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Uganda","Both sexes","14.7","14.66200","","","","",""
"Life expectancy at birth (years)","Published","2010","Africa","Uganda","Both sexes","59.7","59.66988","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Africa","Uganda","Both sexes","52.1","52.11912","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Africa","Uganda","Both sexes","16.7","16.73995","","","","",""
"Life expectancy at birth (years)","Published","2015","Africa","Uganda","Both sexes","64.5","64.46594","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Africa","Uganda","Both sexes","56.3","56.29026","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Africa","Uganda","Both sexes","17.4","17.35686","","","","",""
"Life expectancy at birth (years)","Published","2019","Africa","Uganda","Both sexes","66.7","66.69038","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Africa","Uganda","Both sexes","58.2","58.20736","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Africa","Uganda","Both sexes","17.7","17.69996","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Ukraine","Male","62.1","62.05736","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Ukraine","Male","55.5","55.54250","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Ukraine","Male","14.0","14.04074","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Ukraine","Male","65.2","65.19999","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Ukraine","Male","58.5","58.50813","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Ukraine","Male","14.9","14.87724","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Ukraine","Male","67.2","67.21251","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Ukraine","Male","60.1","60.09502","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Ukraine","Male","15.9","15.93329","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Ukraine","Male","68.0","67.99895","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Ukraine","Male","60.6","60.59900","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Ukraine","Male","16.4","16.42862","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Ukraine","Female","73.2","73.24368","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Ukraine","Female","64.1","64.06936","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Ukraine","Female","18.8","18.83389","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Ukraine","Female","75.1","75.09698","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Ukraine","Female","65.8","65.80828","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Ukraine","Female","19.8","19.80723","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Ukraine","Female","77.0","76.96429","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Ukraine","Female","67.3","67.30170","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Ukraine","Female","21.1","21.11993","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Ukraine","Female","77.8","77.81106","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Ukraine","Female","67.8","67.83824","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Ukraine","Female","21.7","21.73228","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Ukraine","Both sexes","67.5","67.52593","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Ukraine","Both sexes","59.7","59.70977","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Ukraine","Both sexes","16.8","16.77049","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Ukraine","Both sexes","70.2","70.19930","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Ukraine","Both sexes","62.2","62.19735","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Ukraine","Both sexes","17.7","17.68390","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Ukraine","Both sexes","72.2","72.20220","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Ukraine","Both sexes","63.8","63.78681","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Ukraine","Both sexes","18.9","18.93029","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Ukraine","Both sexes","73.0","73.01635","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Ukraine","Both sexes","64.3","64.30415","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Ukraine","Both sexes","19.5","19.49350","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Uruguay","Male","70.8","70.82229","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Uruguay","Male","63.5","63.47539","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Uruguay","Male","17.7","17.72963","","","","",""
"Life expectancy at birth (years)","Published","2010","Americas","Uruguay","Male","72.5","72.53857","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Americas","Uruguay","Male","64.9","64.87166","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Americas","Uruguay","Male","18.4","18.35575","","","","",""
"Life expectancy at birth (years)","Published","2015","Americas","Uruguay","Male","73.3","73.30819","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Americas","Uruguay","Male","65.3","65.32200","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Americas","Uruguay","Male","19.0","19.01261","","","","",""
"Life expectancy at birth (years)","Published","2019","Americas","Uruguay","Male","73.5","73.47769","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Americas","Uruguay","Male","65.4","65.40122","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Americas","Uruguay","Male","19.0","18.98192","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Uruguay","Female","78.8","78.80497","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Uruguay","Female","68.4","68.39493","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Uruguay","Female","23.1","23.14175","","","","",""
"Life expectancy at birth (years)","Published","2010","Americas","Uruguay","Female","80.0","80.04553","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Americas","Uruguay","Female","69.3","69.32797","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Americas","Uruguay","Female","23.7","23.74310","","","","",""
"Life expectancy at birth (years)","Published","2015","Americas","Uruguay","Female","80.6","80.56440","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Americas","Uruguay","Female","69.6","69.64389","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Americas","Uruguay","Female","24.1","24.12286","","","","",""
"Life expectancy at birth (years)","Published","2019","Americas","Uruguay","Female","80.6","80.55956","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Americas","Uruguay","Female","69.5","69.51044","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Americas","Uruguay","Female","24.0","23.95554","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Uruguay","Both sexes","74.8","74.81694","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Uruguay","Both sexes","65.9","65.93648","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Uruguay","Both sexes","20.6","20.58798","","","","",""
"Life expectancy at birth (years)","Published","2010","Americas","Uruguay","Both sexes","76.4","76.36115","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Americas","Uruguay","Both sexes","67.1","67.14501","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Americas","Uruguay","Both sexes","21.2","21.24634","","","","",""
"Life expectancy at birth (years)","Published","2015","Americas","Uruguay","Both sexes","77.0","77.03117","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Americas","Uruguay","Both sexes","67.5","67.54499","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Americas","Uruguay","Both sexes","21.8","21.78415","","","","",""
"Life expectancy at birth (years)","Published","2019","Americas","Uruguay","Both sexes","77.1","77.09940","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Americas","Uruguay","Both sexes","67.5","67.50924","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Americas","Uruguay","Both sexes","21.7","21.66830","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","United States of America","Male","74.1","74.12286","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","United States of America","Male","64.6","64.57660","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","United States of America","Male","19.8","19.77033","","","","",""
"Life expectancy at birth (years)","Published","2010","Americas","United States of America","Male","76.3","76.27111","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Americas","United States of America","Male","65.7","65.70093","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Americas","United States of America","Male","21.5","21.53837","","","","",""
"Life expectancy at birth (years)","Published","2015","Americas","United States of America","Male","76.3","76.30525","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Americas","United States of America","Male","65.6","65.58099","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Americas","United States of America","Male","21.7","21.71960","","","","",""
"Life expectancy at birth (years)","Published","2019","Americas","United States of America","Male","76.3","76.28124","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Americas","United States of America","Male","65.2","65.21423","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Americas","United States of America","Male","21.8","21.78413","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","United States of America","Female","79.2","79.16907","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","United States of America","Female","67.0","66.96071","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","United States of America","Female","22.8","22.80136","","","","",""
"Life expectancy at birth (years)","Published","2010","Americas","United States of America","Female","80.8","80.80196","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Americas","United States of America","Female","67.7","67.73766","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Americas","United States of America","Female","24.2","24.21461","","","","",""
"Life expectancy at birth (years)","Published","2015","Americas","United States of America","Female","80.8","80.79853","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Americas","United States of America","Female","67.5","67.52985","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Americas","United States of America","Female","24.4","24.36762","","","","",""
"Life expectancy at birth (years)","Published","2019","Americas","United States of America","Female","80.7","80.72668","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Americas","United States of America","Female","67.0","67.02427","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Americas","United States of America","Female","24.4","24.38056","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","United States of America","Both sexes","76.7","76.69160","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","United States of America","Both sexes","65.8","65.80030","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","United States of America","Both sexes","21.4","21.40679","","","","",""
"Life expectancy at birth (years)","Published","2010","Americas","United States of America","Both sexes","78.6","78.56299","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Americas","United States of America","Both sexes","66.7","66.73829","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Americas","United States of America","Both sexes","23.0","22.96352","","","","",""
"Life expectancy at birth (years)","Published","2015","Americas","United States of America","Both sexes","78.6","78.55634","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Americas","United States of America","Both sexes","66.6","66.56168","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Americas","United States of America","Both sexes","23.1","23.10877","","","","",""
"Life expectancy at birth (years)","Published","2019","Americas","United States of America","Both sexes","78.5","78.49568","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Americas","United States of America","Both sexes","66.1","66.11826","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Americas","United States of America","Both sexes","23.1","23.13398","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Uzbekistan","Male","62.4","62.39997","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Uzbekistan","Male","56.3","56.28020","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Uzbekistan","Male","14.8","14.80912","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Uzbekistan","Male","67.5","67.51205","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Uzbekistan","Male","60.8","60.80956","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Uzbekistan","Male","15.7","15.72928","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Uzbekistan","Male","69.0","68.98178","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Uzbekistan","Male","62.2","62.15695","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Uzbekistan","Male","16.4","16.35916","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Uzbekistan","Male","70.8","70.76344","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Uzbekistan","Male","63.5","63.53616","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Uzbekistan","Male","17.3","17.32741","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Uzbekistan","Female","68.2","68.23325","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Uzbekistan","Female","59.9","59.94170","","","","",""
